"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Open Access","Citations count","Google Scholar ID","PubMed ID","PMC ID","References","Grants","arXiv ID","Updated Date","Primary Category","Categories","Source","Relevance","Abstract","Adherence Findings","Accuracy and Validation","Long-term Health Outcomes"
"Smart Wearable Technologies for Chronic Disease Monitoring and Management","https://scispace.com/papers/smart-wearable-technologies-for-chronic-disease-monitoring-g6w17wmpd7no","2025","Journal Article","","Poonam B. Kulkarni
Mayuri Molawade
Bharat P. Kulkarni
Reena Lokare","10.1109/icft66708.2025.11336801","","No","","","","","","","","","","","SciSpace","- **Relevance Score:** 65/100 - **Relevance Tag:** Partially Relevant - **Reasoning:** Uses smart wearables for chronic disease monitoring and reports 95% model accuracy, but does not discuss adherence or long-term health outcomes.","Integrating Smart wearable devices with Internet of Things (IoT) hold substantial potential for transforming chronic disease management, providing instantaneous monitoring, personalized involvements, and enhanced patient engagement. This study examines that the combination of Smart Wearable Systems and lOT is tremendously making advancement in healthcare for management of chronic diseases. The amalgamation of loT in smart wearable healthcare technologies makes possible distant patient nursing, custom-made attention, and effective information communication, eventually exceeding current restrictions of health section and resulting in improved and healthier lifestyle of patient. This paper reviews technologies, benefits and challenges of Smart Wearable Technologies for Chronic Disease Monitoring and Management The objective of this paper is to focus on how smart wearable devices can be used for continuous health monitoring for better chronic disease management in combination with loT technologies. The experimental results shown using EDA shows the model's accuracy up to 95% which shows need of further improvement as suggested in future directions.","","",""
"“I Must Try Harder”: Design Implications for Mobile Apps and Wearables Contributing to Self-Efficacy of Patients With Chronic Conditions","https://scispace.com/papers/i-must-try-harder-design-implications-for-mobile-apps-and-3wmrehny7u","2019","Journal Article","Frontiers in Psychology","Sharon Wulfovich
Maddalena Fiordelli
Homero Rivas
Waldo Concepcion
Katarzyna Wac","10.3389/FPSYG.2019.02388","https://scispace.com/pdf/i-must-try-harder-design-implications-for-mobile-apps-and-3wmrehny7u.pdf","Yes","","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 65/100 - **Relevance Tag:** Partially Relevant - **Reasoning:** Discusses wearables for chronic patients and design needs, noting accuracy and self-management support, but lacks adherence and long-term outcome data.","Background Diverse wellness-promoting mobile health technologies, including mobile apps and wearable trackers, became increasingly popular due to their ability to support patients' self-management of health conditions. However, the patient's acceptance and use depend on the perceived experience and the app appropriateness to the patient's context and needs. We have some understating of the experience and factors influencing the use of these technologies in the general public, but we have a limited understanding of these issues in patients. Objective By presenting results from an explorative study, this paper aims to identify implications for the design of mobile apps and wearables to effectively support patients' efforts in self-management of health with a special emphasis on support for self-efficacy of activities contributing to health. Methods An explorative mixed-method study involving 200 chronically ill patients of Stanford Medical Center (Stanford, CA, United States) was conducted between mid-2016 and end of 2018. Amongst these, 20 patients were involved in a 4-weeks study, in which we collected the underlying wearable device use logs (e.g., Fitbit) and subjective use experience [via an Ecological Momentary Assessment (EMA)], as well as patients' momentary perception of general self-efficacy in their natural environments and different daily contexts. Results The results indicate that mobile apps for health and wearables have the potential to enable better self-management and improve patients' wellbeing but must be further refined to address different human aspects of their use. Specifically, the apps/wearables should be easier to use, more personalized and context-aware for the patient's overall routine and lifestyle choices, as well as with respect to the momentary patient state (e.g., location, type of people around) and health(care) needs. Additionally, apps and devices should be more battery efficient and accurate; providing timely, non-judgmental feedback and personalized advice to the patients anywhere-anytime-anyhow. These results are mapped on major sources of the individuals' self-efficacy. Conclusion Our results show how the apps/wearables that are aimed at supporting the patients' self-management should be designed to leverage and further improve the patients' general self-efficacy and self-efficacy of activities contributing to chronic disease management.","","",""
"The emerging role of wearables in cardiac care","https://scispace.com/papers/the-emerging-role-of-wearables-in-cardiac-care-4njuewt3ls","2023","Journal Article","University of Toronto Medical Journal","Sophie Sigfstead
Christopher C. Cheung","10.33137/utmj.v100i2.41461","https://scispace.com/pdf/the-emerging-role-of-wearables-in-cardiac-care-4njuewt3ls.pdf","No","","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 65/100 - **Relevance Tag:** Partially Relevant - **Reasoning:** Discusses wearables for cardiac disease management, noting device inaccuracy and potential health benefits, but lacks coverage of patient adherence and long-term outcome data.","In recent years the consumer wearable technology market has experienced remarkable growth, offering consumers an increasing variety of health-related metrics, which include heart rate and electrocardiogram (ECG) data. This development has prompted significant investigation into the role of these devices in cardiac care, revealing numerous advantages and possibilities for innovation. Specifically, wearables have demonstrated value in diagnosing cardiac conditions, assisting with personalized disease management, improving health outcomes, and providing continual monitoring. Current limitations are related to issues such as inaccessibility and device inaccuracy, both of which are significant concerns, due to their impacts on patient well-being and appropriate health resource utilization. Despite these issues, wearables remain an incredibly promising frontier in cardiac care, capable of driving innovation in multiple aspects of cardiovascular practice. This article aims to provide an overview of the current technology available, its demonstrated benefits and limitations, and its future advancement opportunities.","","",""
"Development of Wearable Biosensors for Real-Time Monitoring of Chronic Disease Progression and Personalized Treatment Adjustments","https://scispace.com/papers/development-of-wearable-biosensors-for-real-time-monitoring-dai8jw3yggd7","2024","Repository","","","10.5281/zenodo.14275718","","No","","","","","","","","","","","SciSpace","- **Relevance Score:** 65/100 - **Relevance Tag:** Partially Relevant - **Reasoning:** Develops wearable biosensors for real-time chronic disease monitoring, showing improved accuracy; does not address adherence or long-term health outcomes.","Wearable biosensors are emerging as critical tools for real-time monitoring of chronic disease progression and enabling personalized treatment adjustments. This study explores the design and application of biosensors capable of continuously tracking biomarkers associated with chronic conditions. Results demonstrate significant advancements in accuracy, usability, and clinical impact, paving the way for transformative changes in healthcare delivery.","","",""
"Wearable Biosensors and Artificial Intelligence for Personalized Health Monitoring","https://ijhespub.org/index.php/pub/article/view/214","","","","M Kayyal
M Khalilian
LN Akbari
M Salehi","","https://ijhespub.org/index.php/pub/article/download/214/176","No","","l9Ax6MCLDQYJ","","","","","","","","","Google Scholar","- **Relevance Score:** 65/100 - **Relevance Tag:** Partially Relevant - **Reasoning:** Uses AI‑enhanced wearable biosensors for chronic disease monitoring, discussing device accuracy; does not address adherence or long‑term health outcomes.","","","",""
"Health monitoring and wearable technology integration","https://api.taylorfrancis.com/content/chapters/edit/download?identifierName=doi&identifierValue=10.1201/9781003533351-5&type=chapterpdf","","","","A Chauhan
MR Goyal
H Goyal","","","No","1","ljIn66vDqbEJ","","","","","","","","","Google Scholar","- **Relevance Score:** 65/100 - **Relevance Tag:** Partially Relevant - **Reasoning:** Uses wearable sensors to support chronic illness management and emphasizes maintaining clinical‑grade accuracy, but does not discuss adherence or long‑term health outcomes.","","","",""
"Accessible by design: Leveraging artificial intelligence to address noncommunicable diseases in aging populations","https://www.sciencedirect.com/science/chapter/edited-volume/pii/B9780443438745000057","","","","BI Aylı","","","No","","OP6wRhO-sWwJ","","","","","","","","","Google Scholar","- **Relevance Score:** 65/100 - **Relevance Tag:** Partially Relevant - **Reasoning:** Uses smartwatches for noncommunicable disease care and cites long-term outcome improvements, but provides no discussion of adherence or device accuracy.","","","",""
"Clinical validation of the CHRONIOUS wearable system in patients with chronic disease","https://scispace.com/papers/clinical-validation-of-the-chronious-wearable-system-in-dpx293jofm","2013","Proceedings Article","International Conference of the IEEE Engineering in Medicine and Biology Society","Christos Bellos
Athanassios Papadopoulos
Roberto Rosso
Dimitrios I. Fotiadis","10.1109/EMBC.2013.6611190","","No","","","","","","","","","","","SciSpace","- **Relevance Score:** 65/100 - **Relevance Tag:** Partially Relevant - **Reasoning:** Validates CHRONIOUS wearable shirt for COPD and CKD monitoring, showing improved accuracy; does not discuss patient adherence or long-term health outcomes.","The CHRONIOUS system defines a powerful and easy to use framework which has been designed to provide services to clinicians and their patients suffering from chronic diseases. The system is composed of a wearable shirt that integrate several body sensors, a portable smart device and a central sub-system that is responsible for the long term storage of the collected patient's data. A multi-parametric expert system is developed for the analysis of the collected data using intelligent algorithms and complex techniques. Apart for the vital signals, dietary habits, drug intake, activity data, environmental and biochemical parameters are recorded. The CHRONIOUS platform is validated through clinical trials in several medical centers and patient's home environments recruiting patients suffering from Chronic Obstructive pulmonary disease (COPD) and Chronic Kidney Disease (CKD) diseases. The clinical trials contribute in improving the system's accuracy, while Pulmonologists and Nephrologists experts utilized the CHRONIOUS platform to evaluate its efficiency and performance. The results of the utilization of the system were very encouraging. The CHRONIOUS system has been proven to be a well-validated real-time patient monitoring and supervision platform, providing a useful tool for the clinician and the patient that would contribute to the more effective management of chronic diseases.","","",""
"An Overview of Emerging Wearable Sensors in the Management of Chronic","https://books.google.com/books?hl=en&lr=&id=8JD_EQAAQBAJ&oi=fnd&pg=PA201&dq=(wearable+OR+%22wearable+devices%22+OR+%22wearable+technology%22+OR+%22wearable+sensors%22)+AND+(%22chronic+disease%22+OR+%22chronic+illness%22+OR+diabetes+OR+hypertension+OR+%22cardiovascular+disease%22)+AND+(adherence+OR+compliance+OR+%22patient+engagement%22)+AND+(accuracy+OR+validity+OR+reliability)+AND+(%22health+outcomes%22+OR+%22clinical+outcomes%22+OR+effectiveness)&ots=sb1xqbmcQg&sig=CD2_R_vuwdBrgPpvHChXCzMvZ90","","","","F Ali
K Kanwal
K Walia
SM Ali
H Liu","","","No","","DDdQlFomYf0J","","","","","","","","","Google Scholar","- **Relevance Score:** 65/100 - **Relevance Tag:** Partially Relevant - **Reasoning:** Discusses wearable sensors for chronic disease management and assesses their accuracy, but does not address adherence or long-term health outcomes.","","","",""
"Wearable Technologies for Chronic Disease Management: Innovations and Applications in Healthcare","https://ijmhr.com/index.php/ijmhr/article/view/25","2025","Journal Article","","Soumik Chatterjee","10.61808/ijmhr25","https://ijmhr.com/index.php/ijmhr/article/download/25/54","No","1","alEflbiV3RUJ","","","","","","","","","Google Scholar","- **Relevance Score:** 65/100 - **Relevance Tag:** Partially Relevant - **Reasoning:** Explores wearable devices for chronic disease management, emphasizing accuracy; does not address adherence or long-term health outcomes.","","","",""
"Integrating Wearable Health Technology into Patient Care: Implications for Chronic Disease Management and Preventive Health","https://scispace.com/papers/integrating-wearable-health-technology-into-patient-care-2drioloi1rfv","2024","Journal Article","Deleted Journal","Yessy Dessy Arna
Hassan Burhan
Indriati Kusumaningsih
Sri Mulyani
Endah Labati","10.59613/5rn8fm71","https://scispace.com/pdf/integrating-wearable-health-technology-into-patient-care-2drioloi1rfv.pdf","No","","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 60/100 - **Relevance Tag:** Partially Relevant - **Reasoning:** Discusses wearables for chronic disease management and notes patient adherence challenges, but lacks coverage of device accuracy and long-term health outcomes.","The integration of wearable health technology into patient care represents a transformative approach to managing chronic diseases and promoting preventive health. This article examines the potential of wearable devices, such as fitness trackers, smartwatches, and continuous monitoring sensors, to enhance patient outcomes by providing real-time data on key health indicators, including heart rate, blood pressure, physical activity, and sleep patterns. Through an analysis of current applications and advancements in wearable technology, this study assesses how these devices contribute to early disease detection, improved patient engagement, and proactive management of chronic conditions like diabetes, hypertension, and cardiovascular diseases. Findings indicate that wearable health technology supports more personalized and responsive care models, allowing healthcare providers to track patient progress remotely, adjust treatments as needed, and foster greater adherence to health interventions. Additionally, the study highlights challenges related to data privacy, interoperability, and patient adherence, underscoring the importance of addressing these issues to fully realize the potential of wearable technology in healthcare. By providing insights into the effective integration of wearable devices in clinical settings, this research offers valuable guidance for healthcare providers, policymakers, and technology developers aiming to improve chronic disease management and advance preventive healthcare strategies.","","",""
"The Influence Of Integrating Wearables And AI For Chronic Disease Management","https://scispace.com/papers/the-influence-of-integrating-wearables-and-ai-for-chronic-w3hycwuu3dmr","2025","Repository","","","10.5281/zenodo.15206782","","No","","","","","","","","","","","SciSpace","- **Relevance Score:** 60/100 - **Relevance Tag:** Partially Relevant - **Reasoning:** Discusses wearable health devices for chronic disease management and notes adherence challenges, but does not address accuracy or long-term health outcomes.","Chronic diseases such as diabetes, cardiovascular conditions, and respiratory illnesses represent some of the most persistent and resource-intensive challenges in modern healthcare. With the increasing global burden of these conditions, the healthcare industry is turning to digital technologies for sustainable solutions. This paper explores the integration of wearable technology and artificial intelligence (AI) as a transformative approach to managing chronic diseases. Wearables, equipped with sensors and connectivity features, continuously collect real-time physiological data such as heart rate, glucose levels, and physical activity. When combined with AI-driven analytics, this data becomes a powerful tool for early detection, personalized treatment, and continuous monitoring. The paper examines the core technologies underpinning wearable-AI synergy, reviews current applications across chronic disease domains, and evaluates ethical, regulatory, and operational considerations. Additionally, it outlines challenges such as data fragmentation, user adherence, and algorithmic transparency. Future innovations like federated learning, smart fabrics, and explainable AI hold immense promise in improving the scalability and reliability of these systems. Through a comprehensive analysis, this study underscores how wearable and AI integration can revolutionize chronic disease care, shifting healthcare from reactive treatment to proactive, data-driven intervention.","","",""
"Naturalizing digital and quality of life in chronic diseases: Systematic review to research perspective into technological advancing and personalized medicine","https://scispace.com/papers/naturalizing-digital-and-quality-of-life-in-chronic-diseases-3rsnk76d","2022","Journal Article","Digital health","Eleonora Cilli
Jessica Ranieri
Federica Guerra
Claudio Ferri
Dina Di Giacomo","10.1177/20552076221144857","","Yes","","","","","","","","","","","SciSpace","- **Relevance Score:** 60/100 - **Relevance Tag:** Partially Relevant - **Reasoning:** Reviews wearable device impact on quality of life and self-management in chronic disease patients; mentions therapeutic adherence but lacks accuracy data and long-term outcome analysis.","The increasing of chronic diseases and related health management are the main clinical and public health challenges. The long-term nature and the need for continuous monitoring in chronic disease management gave rise to early technological innovations (mobile Health) to improve care management plans, therapeutic adherence, and psychological support to the patient. This review aimed to map the literature on the impact of the use of wearable device on quality of life in patients with chronic diseases. We performed a systematic search of MEDLINE through PubMed, Web of Science, and Scopus of all scientific literature published until January 2022. Based on inclusion and exclusion criteria, a total of 10 papers were included. This review pointed out the relevant focus on the use of wearable device in chronic disease patients highlighting the wearable device impact on several domains including quality of life, Self-Efficacy, Self-Management, and feelings on patients with chronic diseases. The available scientific literature related to the impact of the use of wearable device on quality of life and psychological features in patients with chronic diseases, general underline a need to develop professional healthcare guidelines and tailored intervention on patients with a chronic condition, using mobile Health solutions and trying to fill the lack of knowledge about the topic.","","",""
"Use of Wearable Device among Adults in the US with Self-reported Diabetes Mellitus: An Analysis of the 2019 Health Information National Trends Survey","https://scispace.com/papers/use-of-wearable-device-among-adults-in-the-us-with-self-15yfc6d7p0","2020","Journal Article","","Victor Kekere
Henry K. Onyeaka
Olubunmi Fatoki
Kudirat Olatunde
Somto Enemuo
Chidi Asuzu
Onoriode Kesiena","10.12691/JPAR-5-2-2","https://scispace.com/pdf/use-of-wearable-device-among-adults-in-the-us-with-self-15yfc6d7p0.pdf","Yes","","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 60/100 - **Relevance Tag:** Partially Relevant - **Reasoning:** Analyzes wearable device use prevalence among US adults with diabetes, showing 20% use and daily use rates, but provides limited adherence detail and no accuracy or long-term outcomes.","Objective: To evaluate the prevalence, patterns, and sociodemographic predictors of wearable device use among individuals with self-reported diabetes mellitus. Methods: Data for our analysis was drawn from cycle 3 (2019) of the 5th edition of the Health Information National Trends Survey (HINTS 5). Descriptive statistics were used to evaluate the demographic characteristics, prevalence, and frequency of wearable device use among individuals with diabetes mellitus. Multivariable logistic regression was used to identify the sociodemographic predictors of wearable device use. Results: We identified 1149 individuals who self-reported diabetes mellitus. Of these, 51.2% were females, 59.3% were white, and 51.6% had less than a college education. The prevalence of wearable device use was 20%. Further, a sizable proportion (86.1%) of the wearable device users were willing to share information from their wearable devices with their healthcare provider, and almost half of them (43.4%) reported daily use of these devices in the past 1-month. Significant sociodemographic predictors of wearable device use include age, income, and level of education. Conclusion: Our results highlight the feasibility and acceptability of using wearable devices to deliver evidence-based health care to individuals with diabetes. Future interventions should consider the scalability of these tools and how to reach those subgroups of individuals with diabetes mellitus to whom current technologies may be unavailable.","","",""
"Smartwatch-based automated lifelog platform: feasibility and preliminary real-world evaluation with real-world data from post-stroke patients","https://www.nature.com/articles/s41598-026-64552-2","","","","HH Choi
S Choi
SH Kim
WK Seo
JM Jung
S Park","","https://www.nature.com/articles/s41598-026-64552-2_reference.pdf","No","","pQVPWMDgg9IJ","","","","","","","","","Google Scholar","- **Relevance Score:** 60/100 - **Relevance Tag:** Partially Relevant - **Reasoning:** Uses a smartwatch and smartphone to remotely monitor post‑stroke patients, detecting data gaps for adherence; does not report device accuracy or long‑term health outcomes.","","","",""
"Wearable Bioimpedance Monitoring: Viewpoint for Application in Chronic Conditions","https://scispace.com/papers/wearable-bioimpedance-monitoring-viewpoint-for-application-4uhiy4g5fz","2021","Journal Article","","Willemijn","10.2196/22911","https://scispace.com/pdf/wearable-bioimpedance-monitoring-viewpoint-for-application-4uhiy4g5fz.pdf","Yes","","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 60/100 - **Relevance Tag:** Partially Relevant - **Reasoning:** Discusses wearable bioimpedance for chronic disease monitoring, notes compliance issues, but provides no accuracy data or long-term outcome analysis.","Currently, nearly 6 in 10 US adults are suffering from at least one chronic condition. Wearable technology could help in controlling the health care costs by remote monitoring and early detection of disease worsening. However, in recent years, there have been disappointments in wearable technology with respect to reliability, lack of feedback, or lack of user comfort. One of the promising sensor techniques for wearable monitoring of chronic disease is bioimpedance, which is a noninvasive, versatile sensing method that can be applied in different ways to extract a wide range of health care parameters. Due to the changes in impedance caused by either breathing or blood flow, time-varying signals such as respiration and cardiac output can be obtained with bioimpedance. A second application area is related to body composition and fluid status (eg, pulmonary congestion monitoring in patients with heart failure). Finally, bioimpedance can be used for continuous and real-time imaging (eg, during mechanical ventilation). In this viewpoint, we evaluate the use of wearable bioimpedance monitoring for application in chronic conditions, focusing on the current status, recent improvements, and challenges that still need to be tackled.","","",""
"The Role of Wearables in Chronic Disease Prevention and Health Promotion","https://scispace.com/papers/the-role-of-wearables-in-chronic-disease-prevention-and-41ew0ckr2htf","2025","Journal Article","Medicor","Sadli Syam
Arwan
Firmansyah
Adhe Sofyan Anas
Alchamdani
Sadli Syam
Arwan
Firmansyah
Adhe Sofyan Anas
Alchamdani","10.61978/medicor.v3i1.1082","https://scispace.com/pdf/the-role-of-wearables-in-chronic-disease-prevention-and-41ew0ckr2htf.pdf","No","","","","","","","","","","","SciSpace","- **Relevance Score:** 57/100 - **Relevance Tag:** Partially Relevant - **Reasoning:** Reviews wearables for cardiovascular, diabetes, fitness, and elderly care, showing benefits, but does not discuss adherence, accuracy, or detailed long-term outcomes.","Wearable devices are gaining recognition as vital tools in preventive health monitoring, enabling a shift from reactive to proactive care models. This narrative review synthesizes evidence on the effectiveness of wearables in four key areas: cardiovascular health, diabetes management, general fitness, and elderly care. Findings indicate that wearable ECGs and blood pressure monitors improve early detection of cardiovascular risks and help reduce hospitalizations. Continuous glucose monitoring significantly enhances glycemic control, although access remains unequal between developed and developing countries. Fitness wearables increase physical activity, yet adoption is shaped by socioeconomic and cultural factors. Among elderly populations, wearable technologies support vital sign tracking and emergency detection, contributing to autonomy and safety, though challenges in digital literacy and affordability persist. Despite these benefits, several systemic barriers limit broader impact—particularly data privacy concerns, regulatory fragmentation, interoperability issues, and cost. Addressing these challenges requires integrated policy responses, user-centered design, and equitable access strategies. This review concludes that while wearable devices offer substantial potential for improving population health, realizing their impact depends on resolving critical access and infrastructure gaps, particularly in low-resource settings. Future research should prioritize longitudinal studies and culturally tailored innovations to enhance real-world effectiveness and global scalability.","","",""
"E-QALY: face validity testing the items for a new generic preference-based measure","https://scispace.com/papers/e-qaly-face-validity-testing-the-items-for-a-new-generic-56ogrbzdev","2020","Journal Article","Quality of Life Research","Jill Carlton
Janice Connell
Tessa Peasgood
Clara Mukuria
Kristina Ludwig
Ole Marten
Simone Kreimeier
Lidia Engel
Z Yang
M Belizan
R Rodriguez
Andrea L. Monteiro
M. Kuharic
Brendan Mulhern
Alan S. Pickard
N Luo
F Augustovski
Wolfgang Greiner","10.1007/S11136-020-02626-Y","https://scispace.com/pdf/e-qaly-face-validity-testing-the-items-for-a-new-generic-56ogrbzdev.pdf","Yes","","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 57/100 - **Relevance Tag:** Partially Relevant - **Reasoning:** Discusses wearables in cancer treatment and notes variable adherence, but does not address device accuracy or long-term health outcomes.","","","",""
"The Pulse of Progress: Smart Wearables and the Evolution of Cardiovascular Monitoring Technologies","https://scispace.com/papers/the-pulse-of-progress-smart-wearables-and-the-evolution-of-1wjy0v4i1n","2024","Journal Article","Deleted Journal","Fatemeh Kazerani","10.55529/ijrise.44.30.36","https://scispace.com/pdf/the-pulse-of-progress-smart-wearables-and-the-evolution-of-1wjy0v4i1n.pdf","No","","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 57/100 - **Relevance Tag:** Partially Relevant - **Reasoning:** Discusses wearable health devices for cardiovascular disease management, but lacks details on adherence, accuracy, and long-term outcomes.","This paper explores the transformative role of smart wearables in the evolution of cardiovascular monitoring technologies. With cardiovascular diseases (CVDs) as the leading cause of mortality globally, there's a critical need for continuous, real-time health monitoring outside traditional clinical settings. Smart wearables, ranging from fitness trackers to specialized health-monitoring devices, have emerged as pivotal tools in this regard. They offer personalized, preventive, and real-time management of health, leveraging advancements in technology to provide a continuous stream of health data previously inaccessible. This systematic review draws upon recent studies to examine the effectiveness of wearable technologies in detecting, predicting, and managing CVDs.","","",""
"Usability and Technology Acceptance of a Wearable Monitoring System Among Patients with Cardiovascular Diseases: A Cross-Sectional Study","https://www.mdpi.com/1648-9144/62/8/1607","","","","M Morenci
DC Iovanovici
CDC Nistor
S Tirla","","","No","","YYuAEzjJNm0J","","","","","","","","","Google Scholar","- **Relevance Score:** 57/100 - **Relevance Tag:** Partially Relevant - **Reasoning:** Uses a wearable monitoring system for cardiovascular disease patients, addressing usability and acceptance (wearable devices, chronic disease). Mentions device accuracy but lacks adherence data and long-term outcome analysis.","","","",""
"Use of technology to improve adherence in allergy/immunology","https://www.sciencedirect.com/science/article/pii/S2213219824007499","2024","Journal Article","The Journal of Allergy and Clinical Immunology: In Practice","MDJ Oppenheimer
PDB Bender","10.1016/j.jaip.2024.10.034","","No","11","AsOetea6S_EJ","","","","","","","","","Google Scholar","- **Relevance Score:** 57/100 - **Relevance Tag:** Partially Relevant - **Reasoning:** Uses wearable devices to improve adherence in patients with chronic diseases like diabetes and hypertension, but does not discuss device accuracy or long-term outcomes.","","","",""
"An Overview of Emerging Wearable Sensors in the Management of Chronic Diseases","https://link.springer.com/chapter/10.1007/978-3-032-19984-3_12","","","","F Ali
K Kanwal
K Walia
SM Ali
H Liu","","","No","","WcJXjRwF13wJ","","","","","","","","","Google Scholar","- **Relevance Score:** 57/100 - **Relevance Tag:** Partially Relevant - **Reasoning:** Discusses wearable sensors for chronic disease care; mentions device accuracy but lacks detail on adherence or long-term health outcomes.","","","",""
"Patient-Led Smartwatch ECG Follow-Up Strategy After AF Ablation","https://kclpure.kcl.ac.uk/portal/files/378822781/1-s2.0-S2772963X25009639-main.pdf","","","","N Ahluwalia
H Abbass
A Hussain
G Saengkrajang","","https://kclpure.kcl.ac.uk/portal/files/378822781/1-s2.0-S2772963X25009639-main.pdf","No","","jWiC89ILeWAJ","","","","","","","","","Google Scholar","- **Relevance Score:** 57/100 - **Relevance Tag:** Partially Relevant - **Reasoning:** Uses smartwatch ECG for post‑ablation follow‑up, showing wearable use in chronic AF management; adherence, accuracy details are limited, long‑term outcomes not addressed.","","","",""
"Use of Health Apps and Wearable Devices: Survey Among Italian Associations for Patient Advocacy.","https://scispace.com/papers/use-of-health-apps-and-wearable-devices-survey-among-italian-36p8wrfz24","2019","Journal Article","Jmir mhealth and uhealth","Paola Mosconi
Silvia Radrezza
Emanuele Lettieri
Eugenio Santoro","10.2196/10242","https://scispace.com/pdf/use-of-health-apps-and-wearable-devices-survey-among-italian-36p8wrfz24.pdf","Yes","","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 55/100 - **Relevance Tag:** Partially Relevant - **Reasoning:** Surveys patients’ advocacy groups on wearable device use, noting perceived usefulness for engagement and compliance, concerns about accuracy and evidence, but lacks chronic disease focus, detailed adherence analysis, or long-term outcome data.","Background: Technological tools such as Web-based social networks, telemedicine, apps, or wearable devices are becoming more widespread in health care like elsewhere. Although patients are the main users, for example, to monitor symptoms and clinical parameters or to communicate with the doctor, their perspective is seldom analyzed, and to the best of our knowledge, no one has focused on the patients’ health care advocacy associations’ point of view. Objective: The objective of this study was to assess patients’ health care advocacy associations’ opinions about the use, usefulness, obstacles, negative aspects, and impact of health apps and wearable devices through a Web-based survey. Methods: We conducted a Web-based survey through SurveyMonkey over nearly 3 months. Participants were contacted via an email explaining the aims of the survey and providing a link to complete the Web-based questionnaire. All the 20 items were mandatory, and the anonymized data were collected automatically into a database. Only fully completed questionnaires were considered for analysis. Results: We contacted 1998 patients’ health care advocacy associations; a total of 258 questionnaires were received back (response rate 12.91%), and 227 of the received questionnaires were fully completed (completion rate 88.0%). Informative apps, hospital apps for viewing medical reports or booking visits, and those for monitoring physical activity are the most used. They are considered especially useful to improve patients’ engagement and compliance with treatment. Wearable devices to check physical activity and glycemia are the most widespread considering, again, their benefits in increasing patients’ involvement and treatment compliance. For health apps and wearable devices, the main obstacles to their use are personal and technical reasons; the risk of overmedicalization is considered the most negative aspect of their constant use, while privacy and confidentiality of data are not rated a limitation. No statistical difference was found on stratifying the answers by responders’ technological level (P=.30), age (P=.10), and the composition of the association’s advisory board (P=.15). Conclusions: According to responders, health apps and wearable devices are sufficiently known and used and are considered potential supports for greater involvement in health management. However, there are still obstacles to their adoption, and the developers need to work to make them more accessible and more useful. The involvement of patients and their associations in planning services and products based on these technologies (as well as others) would be desirable to overcome these barriers and boost awareness about privacy and the confidentiality of data.","","",""
"Cutting-Edge Innovations in Biomedical Sensing Technologies for Enhanced Remote Healthcare Monitoring","https://scispace.com/papers/cutting-edge-innovations-in-biomedical-sensing-technologies-5wdaz257llqe","2024","Journal Article","","V Anusharani
Meera Krishnan
T. Muthamizhan
Mohammad Aijaz
G. Guna","10.1109/cybercom63683.2024.10803181","","No","","","","","","","","","","","SciSpace","- **Relevance Score:** 52/100 - **Relevance Tag:** Partially Relevant - **Reasoning:** Discusses wearable sensors with 95% heart rate accuracy and 92% activity accuracy; mentions chronic disease opportunities but lacks adherence or long-term outcome details.","This study discusses the state-of-the-art advancements in approaches and systems of biomedical sensing used to implement distant healthcare monitoring. The performance and accuracy of wearable and implantable sensors as well as their compatibility with mHealth Apps is assessed in the study. The study includes the processing of data collected through wearable devices, implantable sensors, and health applications to evaluate sensor reliability, data aggregation, and system efficiency. As the study has demonstrated, wearable sensors such as heart rate sensors and activity sensors, both have close to perfect accuracy of 95% and, 92% respectively. Other implantable sensors, namely the glucose and pressure sensors, exhibit high accuracy levels of 97% and 96%, respectively, and a minimal latency level. The use of mobile health applications captures the data from the sensors in a very integrated manner with accuracy levels of 92-94%. These interactive conclusions stress the opportunity bestowed by biomedical sensing technologies in advanced chronic disease, eldercare, and other healthcare system arrangements. These and other innovations in the sectors of sensors, data merging, and artificial intelligence will furthermore improve the potential of remote monitoring systems. This paper establishes a foundation for the continuous development of biomedical sensing technologies, as a key constituent of remote health monitoring systems.","","",""
